ID,German,Article,English,Plural,Level
1,Taxi,das,Taxi,Taxis,A1
2,Name,der,Name,Namen,A1
3,Rückseite,die,Backside,Rückseiten,A1
4,Foto,das,Picture,Fotos,A1
5,Kaffee,der,Coffee,Kaffees,A1
6,Pizza,die,Pizza,Pizzas,A1
7,Tomate,die,Tomato,Tomaten,A1
8,Jacke,die,Jacket,Jacken,A1
9,Müsli,das,Cereal,Müslis,A1
10,Jeans,die,Jeans,Jeans,A1
11,Auto,das,Car,Autos,A1
12,Bluse,die,Blouse,Blusen,A1
13,Tee,der,Tea,Tees,A1
14,Bus,der,Bus,Busse,A1
15,Bier,das,Beer,Biere,A1
16,Computer,der,Computer,Computer,A1
17,Schweiz,die,Switzerland,,A1
18,Iran,der,Iran,,A1
19,Land,das,Country,Länder,A1
20,Stadt,die,City,Städte,A1
21,Karte,die,Map,Karten,A1
22,Fenster,das,Window,Fenster,A1
23,Tafel,die,Board,Tafeln,A1
24,Heft,das,Notebook,Hefte,A1
25,Ordner,der,Folder,Ordner,A1
26,CD,die,CD,Cds,A1
27,CD-Spieler,der,CD-Player,,A1
28,Buch,das,Book,Bücher,A1
29,Tisch,der,Table,Tische,A1
30,Stuhl,der,Chair,Stühle,A1
31,Tasche,die,Bag,Taschen,A1
32,Grammatik,die,Grammer,Grammatiken,A1
33,Seite,die,Page,Seiten,A1
34,Verb,das,Verb,Verben,A1
35,Kurs,der,Class,Kurse,A1
36,Bericht,der,Report,Berichte,A1
37,Zahl,die,Number,Zahlen,A1
38,Bild,das,Picture,Bilder,A1
39,Blatt,das,Sheet,Blätter,A1
40,Partner,der,Partner,Partner,A1
41,Handy,das,Cell-Phone,Handys,A1
42,Musik,die,Music,Musiken,A1
43,Straße,die,Street,Straßen,A1
44,Freund,der,Friend (M),Freunde,A1
45,Mensch,der,Human,Menschen,A1
46,Studie,die,Study,Studien,A1
47,Satz,der,Sentence,Sätze,A1
48,Post,die,Post,Posten,A1
49,Paar,das,Pair,Paare,A1
50,XPro,der,XPro,-,A1
51,MacBook,das,MacBook,-,A1
52,Katze,die,Cat,Katzen,A1
53,Hund,der,Dog,Hunde,A1
54,Junge,der,Boy,Jungen,A1
55,Mädchen,das,Girl,Mädchen,A1
56,Familie,die,Family,Familien,A1
57,Deutschkurs,der,German Class,Deutschkurse,A1
58,Mann,der,Man,Mannen,A1
59,Hotel,das,Hotel,Hotels,A1
60,Frage,die,Question,Fragen,A1
61,Tabelle,die,Table,Tabellen,A1
62,Elter,das,Parent,Eltern,A1
63,Pony,das,Pony,Ponys,A1
64,Großvater,der,Grandfather,Großväter,A1
65,Großmutter,die,Grandmother,Großmütter,A1
66,Bruder,der,Brother,Brüder,A1
67,Schwester,die,Sister,Schwestern,A1
68,Vater,der,Father,Väter,A1
69,Mutter,die,Mother,Mütter,A1
70,Tier,das,Animal,Tiere,A1
71,Gruppe,die,Group,Gruppen,A1
72,Chef,der,Boss (M),Chefs,A1
73,Chefin,die,Boss (F),Chefinnen,A1
74,Hobby,das,Hobby,Hobbys,A1
75,Architekt,der,Architect (M),Architekten,A1
76,Architektin,die,Architect (F),Architektinnen,A1
77,Job,der,Job,Jobs,A1
78,Fußball,der,Football,Fußbälle,A1
79,Kolleg,das,College,Kollegs,A1
80,Kollege,der,Colleague (M),Kollegen,A1
81,Text,der,Text,Texte,A1
82,Dossier,das,File,Dossiers,A1
83,Baby,das,Baby,Babys,A1
84,Rätsel,das,Puzzle,Rätsel,A1
85,Lösungswort,das,Answer Word,Lösungsworte,A1
86,Mercedes,der,Mercedes,-,A1
87,BMW,der,BMW,-,A1
88,Mal,das,Time,Male,A1
89,Laptop,das,Laptop,Laptops,A1
90,Kollegin,die,Colleague (F),Kolleginnen,A1
91,Friseurin,die,Barber (F),Friseurinnen,A1
92,Friseur,der,Barber (M),Friseure,A1
93,Musiker,der,Musician (M),Musiker,A1
94,Musikerin,die,Musician (F),Musikerinnen,A1
95,Freundin,die,Friend (F),Freundinnen,A1
96,Verkäufer,der,Vendor (M),Verkäufer,A1
97,Verkäuferin,die,Vendor (F),Verkäuferinnen,A1
98,Student,der,Student (M),Studenten,A1
99,Studentin,die,Student (F),Studentinnen,A1
100,Hamburger,der,Hamburger,Hamburger,A1
101,Hähnchen,das,Chicken,Hähnchen,A1
102,Zitrone,die,Lemon,Zitronen,A1
103,Ei,das,Egg,Eier,A1
104,Cola,das,Cola,Colas,A1
105,Wein,der,Wine,Weine,A1
106,Orangensaft,der,Orange Juice,Orangensäfte,A1
107,Milch,die,Milk,Milche,A1
108,Käse,der,Cheese,Käse,A1
109,Wasser,das,Water,Wässer,A1
110,Obst,das,Fruit,-,A1
111,Salat,der,Salad,Salate,A1
112,Gemüse,das,Vegetable,Gemüse,A1
113,Banane,die,Banana,Bananen,A1
114,Kartoffel,die,Potato,Kartoffeln,A1
115,Orange,die,Orange,Orangen,A1
116,Apfel,der,Apple,Äpfel,A1
117,Apfelsaft,der,Apple Juice,Apfelsäfte,A1
118,Möhre,die,Carrot,Möhren,A1
119,Butter,die,Butter,-,A1
120,Brot,das,Bread,Brote,A1
121,Fisch,der,Fish,Fische,A1
122,Fleisch,das,Meat,Fleische,A1
123,Joghurt,der,Yogurt,Joghurts,A1
124,Reis,der,Rice,Reice,A1
125,Öl,das,Oil,Öle,A1
126,Getränk,das,Beverage,Getränke,A1
127,Milchprodukte,das,Dairy Product,Milchprodukte,A1
128,Deutschlehrer,der,German Teacher (M),Deutschlehrer,A1
129,Deutschlehrerin,die,German Teacher (F),Deutschlehrerinnen,A1
130,Thymian,der,Thyme,Thymiane,A1
131,Gast,der,Guest,Gäste,A1
132,Vegetarier,der,Vegetarian (M),Vegetarier,A1
133,Vegetarierin,die,Vegetarian (F),Vegetarierinnen,A1
134,Koch,der,Chef (M),Köche,A1
135,Köchin,die,Chef (F),Köchinnen,A1
136,Leben,das,Life,Leben,A1
137,Restaurant,das,Restaurant,Restaurants,A1
138,Tourist,der,Tourist,Touristen,A1
139,Berliner,der,Berliner (M),Berliner,A1
140,Berlinerin,die,Berliner (F),Berlinerinnen,A1
141,Übung,die,Exercise,Übungen,A1
142,Kette,die,Chain,Ketten,A1
143,Grafik,die,Graphic,Grafiken,A1
144,Raum,der,Room,Räume,A1
145,Farbe,die,Color,Farben,A1
146,Manager,der,Manager (M),Manager,A1
147,Managerin,die,Manager (F),Managerinnen,A1
148,Frühstück,das,Breakfast,Frühstücke,A1
149,Brötchen,das,Bread Roll,Brötchen,A1
150,Croissant,das,Croissant,Croissants,A1
151,Toast,der,Toast,Toasts,A1
152,Marmelade,die,Jam,Marmeladen,A1
153,Honig,der,Honey,Honige,A1
154,Wurst,die,Sausage,Würste,A1
155,Schinken,der,Ham,Schinken,A1
156,Haus,das,House,Häuser,A1
